review_id,debate_section_id,question_date,year,to_minister_or_department,answer_status,grouped_answer,referred_or_direct_reply,embedded_table_count,linked_question_count,answer_chars,section_heading,source_xml_url
WPQG001,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_10,2025-01-22,2025,Taoiseach,ministerial_reply_present,False,False,2,1,9794,Departmental Projects,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_10.xml
WPQG002,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_100,2025-01-22,2025,Environment,ministerial_reply_present,False,False,0,1,1729,Renewable Energy Generation,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_100.xml
WPQG003,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1000,2025-01-22,2025,Agriculture,ministerial_reply_present,False,False,4,1,6583,Departmental Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1000.xml
WPQG004,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1058,2025-01-22,2025,Children,ministerial_reply_present,False,False,0,1,1092,Housing Schemes,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1058.xml
WPQG005,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_110,2025-01-22,2025,Defence,ministerial_reply_present,False,False,0,1,314,Departmental Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_110.xml
WPQG006,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1214,2025-01-22,2025,Health,ministerial_reply_present,False,False,0,1,186,Health Services Waiting Lists,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1214.xml
WPQG007,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_134,2025-01-22,2025,Transport,ministerial_reply_present,False,False,0,1,1654,Road Network,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_134.xml
WPQG008,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1598,2025-01-22,2025,Further and Higher Education,ministerial_reply_present,False,False,3,1,2378,Departmental Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1598.xml
WPQG009,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_16,2025-01-22,2025,Foreign,ministerial_reply_present,True,False,0,2,1128,Departmental Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_16.xml
WPQG010,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1645,2025-01-22,2025,Rural,ministerial_reply_present,False,False,1,1,977,Departmental Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1645.xml
WPQG011,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_312,2025-01-22,2025,Finance,ministerial_reply_present,False,False,0,1,1163,An Garda Síochána,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_312.xml
WPQG012,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_350,2025-01-22,2025,Public Expenditure,ministerial_reply_present,False,False,0,1,1494,Coast Guard Service,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_350.xml
WPQG013,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_406,2025-01-22,2025,Enterprise,ministerial_reply_present,False,False,0,1,149,Artificial Intelligence,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_406.xml
WPQG014,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_447,2025-01-22,2025,Education,ministerial_reply_present,False,False,0,1,2143,Irish Language,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_447.xml
WPQG015,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_638,2025-01-22,2025,Education,ministerial_reply_present,False,False,1,1,3268,School Transport,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_638.xml
WPQG016,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_651,2025-01-22,2025,Tourism,ministerial_reply_present,False,False,1,1,1653,Tourist Accommodation,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_651.xml
WPQG017,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_679,2025-01-22,2025,Housing,ministerial_reply_present,True,False,2,2,2935,Departmental Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_679.xml
WPQG018,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_785,2025-01-22,2025,Social,ministerial_reply_present,False,False,0,1,3113,Social Welfare Appeals,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_785.xml
WPQG019,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_853,2025-01-22,2025,Justice,ministerial_reply_present,False,False,0,1,1136,Immigration Support Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_853.xml
WPQG020,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_1008,2025-02-05,2025,Health,ministerial_reply_present,False,True,0,1,146,Health Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/mul@/dbsect_1008.xml
WPQG021,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_1238,2025-02-05,2025,Health,ministerial_reply_present,False,True,0,1,146,Health Service Executive,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/mul@/dbsect_1238.xml
WPQG022,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_666,2025-02-25,2025,Children,ministerial_reply_present,True,False,0,1,167,International Protection,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/mul@/dbsect_666.xml
WPQG023,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_450,2025-03-04,2025,Justice,ministerial_reply_present,False,False,2,1,4233,Departmental Bodies,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/mul@/dbsect_450.xml
WPQG024,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_215,2025-03-05,2025,Health,unresolved_structure,False,False,0,1,0,Assisted Human Reproduction,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/mul@/dbsect_215.xml
WPQG025,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_1528,2025-03-19,2025,Health,ministerial_reply_present,False,True,0,1,172,Mental Health Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/mul@/dbsect_1528.xml
WPQG026,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_891,2025-03-19,2025,Justice,ministerial_reply_present,False,False,1,1,1828,Departmental Expenditure,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/mul@/dbsect_891.xml
WPQG027,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/dbsect_431,2025-03-25,2025,Children,ministerial_reply_present,True,False,0,2,3702,Childcare Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/mul@/dbsect_431.xml
WPQG028,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/dbsect_536,2025-04-01,2025,Children,ministerial_reply_present,False,True,0,1,219,Care Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/mul@/dbsect_536.xml
WPQG029,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/dbsect_689,2025-04-01,2025,Health,ministerial_reply_present,False,True,0,1,146,Mortality Rates,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/mul@/dbsect_689.xml
WPQG030,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-08/writtens/dbsect_893,2025-04-08,2025,Health,ministerial_reply_present,False,True,0,1,145,Hospital Waiting Lists,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-08/writtens/mul@/dbsect_893.xml
WPQG031,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_1391,2025-04-29,2025,Justice,ministerial_reply_present,False,False,1,1,1915,An Garda Síochána,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/mul@/dbsect_1391.xml
WPQG032,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_1547,2025-04-29,2025,Children,ministerial_reply_present,True,False,1,3,6781,Disability Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/mul@/dbsect_1547.xml
WPQG033,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_544,2025-04-29,2025,Public Expenditure,ministerial_reply_present,False,False,0,1,1765,Departmental Data,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/mul@/dbsect_544.xml
WPQG034,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-07/writtens/dbsect_432,2025-05-07,2025,Health,ministerial_reply_present,False,False,0,1,115,Nursing Homes,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-07/writtens/mul@/dbsect_432.xml
WPQG035,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-20/writtens/dbsect_599,2025-05-20,2025,Agriculture,ministerial_reply_present,False,False,0,1,998,Animal Welfare,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-20/writtens/mul@/dbsect_599.xml
WPQG036,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-28/writtens/dbsect_339,2025-05-28,2025,Health,ministerial_reply_present,False,True,0,1,183,Cancer Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-28/writtens/mul@/dbsect_339.xml
WPQG037,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_100,2025-06-10,2025,Climate,ministerial_reply_present,False,False,0,1,1365,Renewable Energy Generation,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/mul@/dbsect_100.xml
WPQG038,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_115,2025-06-10,2025,Foreign,ministerial_reply_present,True,False,0,2,1196,Trade Agreements,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/mul@/dbsect_115.xml
WPQG039,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_1198,2025-06-10,2025,Health,ministerial_reply_present,False,True,0,1,146,Hospital Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/mul@/dbsect_1198.xml
WPQG040,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_595,2025-06-10,2025,Culture,ministerial_reply_present,True,False,0,4,1787,Post Office Network,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/mul@/dbsect_595.xml
WPQG041,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-01/writtens/dbsect_378,2025-07-01,2025,Education,ministerial_reply_present,True,False,0,4,3370,Special Educational Needs,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-01/writtens/mul@/dbsect_378.xml
WPQG042,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/dbsect_141,2025-07-08,2025,Climate,ministerial_reply_present,False,False,2,1,8999,Departmental Advertising,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/mul@/dbsect_141.xml
WPQG043,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/dbsect_625,2025-07-08,2025,Health,ministerial_reply_present,False,True,0,1,146,Emergency Departments,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/mul@/dbsect_625.xml
