debate_section_id,question_date,recipient,question_count,answer_chars,classification_json,validation_errors,input_tokens,output_tokens,total_tokens
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_109,2025-01-22,Environment,1,151,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_112"",""topic_tags"":[""procurement""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""procurement""],""answer_characteristics"":[""factual_information_supplied"",""information_not_held_or_unavailable""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""procurement""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,2965,102,3067
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1367,2025-01-22,Health,1,146,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1441"",""topic_tags"":[""health_general""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[],""answer_characteristics"":[""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""health_general""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,2980,102,3082
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_169,2025-01-22,Transport,1,3190,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_171"",""topic_tags"":[""transport_general"",""public_transport"",""transport_safety""],""question_intents"":[""request_explanation_or_rationale"",""request_policy_position"",""request_policy_status""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""transport_general"",""public_transport"",""transport_safety""],""answer_characteristics"":[""factual_information_supplied"",""policy_explanation"",""implementation_status_update"",""timeline_or_deadline_stated"",""legislation_or_regulation_discussed"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""transport_general"",""public_transport"",""transport_safety""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3647,323,3970
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_180,2025-01-22,Transport,1,3204,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_183"",""topic_tags"":[""roads"",""cycling_walking""],""question_intents"":[""request_action_or_intervention"",""request_case_or_local_service_update""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""roads"",""cycling_walking"",""public_spending"",""local_government""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""funding_or_cost_figures_supplied"",""implementation_status_update"",""future_action_or_commitment"",""timeline_or_deadline_stated"",""referred_to_another_body"",""direct_reply_promised_by_another_body"",""legislation_or_regulation_discussed""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""roads"",""cycling_walking"",""public_spending"",""local_government""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3517,173,3690
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_359,2025-02-05,Enterprise,1,178,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-05/pq_377"",""topic_tags"":[""enterprise_business""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""enterprise_business""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""enterprise_business""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,2985,101,3086
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_881,2025-02-05,Children,1,240,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-05/pq_979"",""topic_tags"":[""disability_services"",""waiting_lists""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[],""answer_characteristics"":[""referred_to_another_body"",""direct_reply_promised_by_another_body"",""no_substantive_answer""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""disability_services"",""waiting_lists""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,2980,111,3091
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-11/writtens/dbsect_155,2025-02-11,Transport,1,1520,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-11/pq_147"",""topic_tags"":[""transport_fares""],""question_intents"":[""request_policy_position"",""request_action_or_intervention""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""transport_fares"",""public_transport"",""budget""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""funding_or_cost_figures_supplied"",""policy_position_stated"",""implementation_status_update"",""future_action_or_commitment"",""timeline_or_deadline_stated"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""transport_fares"",""public_transport"",""budget""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3226,317,3543
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-12/writtens/dbsect_275,2025-02-12,Health,1,630,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-12/pq_277"",""topic_tags"":[""waiting_lists"",""hospitals""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""waiting_lists"",""hospitals""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""waiting_lists"",""hospitals""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3037,125,3162
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_448,2025-02-18,Justice,1,188,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_564"",""topic_tags"":[""immigration_asylum"",""public_service_staffing""],""question_intents"":[""request_statistics_or_data"",""request_staffing_or_capacity"",""request_funding_or_cost""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[],""answer_characteristics"":[""information_not_held_or_unavailable"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""immigration_asylum"",""public_service_staffing""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,2978,121,3099
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_727,2025-02-18,Further and Higher Education,3,2280,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_849"",""topic_tags"":[""further_education_training"",""skills_training""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_850"",""topic_tags"":[""further_education_training"",""skills_training""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_851"",""topic_tags"":[""further_education_training"",""skills_training""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""further_education_training"",""skills_training""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""funding_or_cost_figures_supplied"",""policy_explanation"",""implementation_status_update"",""future_action_or_commitment"",""timeline_or_deadline_stated""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""further_education_training"",""skills_training""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3590,431,4021
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-19/writtens/dbsect_274,2025-02-19,Rural,4,0,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-19/pq_255"",""topic_tags"":[""procurement"",""digital_services""],""question_intents"":[""request_statistics_or_data"",""request_funding_or_cost""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-19/pq_256"",""topic_tags"":[""procurement"",""digital_services""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-19/pq_257"",""topic_tags"":[""procurement"",""digital_services""],""question_intents"":[""request_statistics_or_data"",""request_funding_or_cost""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-19/pq_258"",""topic_tags"":[""procurement"",""digital_services""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[],""answer_characteristics"":[""no_substantive_answer""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""procurement"",""digital_services""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3218,422,3640
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_388,2025-02-25,Housing,2,754,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_485"",""topic_tags"":[""other""],""question_intents"":[""request_case_or_local_service_update"",""request_action_or_intervention""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_566"",""topic_tags"":[""environmental_regulation"",""biodiversity""],""question_intents"":[""request_action_or_intervention""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""environmental_regulation"",""biodiversity"",""legislation""],""answer_characteristics"":[""factual_information_supplied"",""policy_explanation"",""legislation_or_regulation_discussed""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""other"",""environmental_regulation"",""biodiversity"",""legislation""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3149,340,3489
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_441,2025-02-25,Housing,5,1221,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_546"",""topic_tags"":[""planning""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_547"",""topic_tags"":[""planning""],""question_intents"":[""request_policy_position""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_548"",""topic_tags"":[""planning"",""biodiversity""],""question_intents"":[""request_policy_position""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_549"",""topic_tags"":[""planning""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_550"",""topic_tags"":[""planning"",""public_spending""],""question_intents"":[""request_funding_or_cost"",""request_policy_position""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""planning""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""implementation_status_update"",""timeline_or_deadline_stated"",""information_not_held_or_unavailable"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""planning"",""biodiversity"",""public_spending""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3484,546,4030
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_623,2025-02-25,Children,2,1444,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_757"",""topic_tags"":[""child_family_support"",""workplace_rights""],""question_intents"":[""request_policy_position"",""request_eligibility_or_rules""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_808"",""topic_tags"":[""child_family_support"",""workplace_rights""],""question_intents"":[""request_policy_position"",""request_action_or_intervention""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""child_family_support"",""workplace_rights"",""legislation""],""answer_characteristics"":[""factual_information_supplied"",""policy_position_stated"",""policy_explanation"",""legislation_or_regulation_discussed""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""child_family_support"",""workplace_rights"",""legislation""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3329,360,3689
