review_id,debate_section_id,question_id,question_no,question_date,asked_by_name,to_minister_or_department,question_text,human_topic_tags_json,human_question_intents_json,human_missing_topic_notes,reviewer_notes
WPQG002,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_100,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_103,103,2025-01-22,Aindrias Moynihan,Environment,"103. Deputy Aindrias Moynihan asked the Minister for the Environment, Climate and Communications if solar farm developers receive grants or subsidies to develop solar farms; if the electricity they generate on solar farms is subsidised; and if he will make a statement on the matter. [1716/25]",,,,
WPQG003,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1000,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1069,1069,2025-01-22,Michael Fitzmaurice,Agriculture,"1069. Deputy Michael Fitzmaurice asked the Minister for Agriculture, Food and the Marine the number of civil servants in his Department, and in agencies under the aegis of his Department, who were on career break in 2023 or 2024, by month and grade, and by length of career break; the number of civil servants in his Department and in agencies under the aegis of his Department who were on career break for longer than five years or longer than six years in 2023 or 2024, by month, grade, and length of career break, in tabular form; and if he will make a statement on the matter. [46184/24]",,,,
WPQG004,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1058,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1127,1127,2025-01-22,Mattie McGrath,Children,"1127. Deputy Mattie McGrath asked the Minister for Children, Equality, Disability, Integration and Youth the total cost of the rapid-build homes at Haywood Road, Clonmel, County Tipperary; and if he will make a statement on the matter. [1695/25]",,,,
WPQG005,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_110,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_113,113,2025-01-22,Michael Fitzmaurice,Defence,"113. Deputy Michael Fitzmaurice asked the Tánaiste and Minister for Defence the number of civil servants in his Department, and in agencies under the aegis of his Department, who were on career break in 2023 or 2024, by month and grade, and by length of career break; the number of civil servants in his Department and in agencies under the aegis of his Department who were on career break for longer than five years or longer than six years in 2023 or 2024, by month, grade, and length of career break, in tabular form; and if he will make a statement on the matter. [46186/24]",,,,
WPQG006,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1214,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1295,1295,2025-01-22,Paul Lawless,Health,"1295. Deputy Paul Lawless asked the Minister for Health the total number of people currently waiting for speech and language therapy in Mayo; the number who have been waiting three months, six months, one year and two years, in tabular form; and if he will make a statement on the matter. [1444/25]",,,,
WPQG007,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_134,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_137,137,2025-01-22,Barry Ward,Transport,"137. Deputy Barry Ward asked the Minister for Transport if he will increase the roll out of ""average speed zones"" on national roads; and if he will make a statement on the matter. [1825/25]",,,,
WPQG009,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_16,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_15,15,2025-01-22,Michael Fitzmaurice,Foreign,"15. Deputy Michael Fitzmaurice asked the Tánaiste and Minister for Foreign Affairs the number of civil servants in his Department, and in agencies under the aegis of his Department, who were on career break in 2023 or 2024, by month and grade, and by length of career break; the number of civil servants in his/her Department and in agencies under the aegis of his Department who were on career break for longer than five years or longer than six years in 2023 or 2024, by month, grade, and length of career break, in tabular form; and if he will make a statement on the matter. [46191/24]",,,,
WPQG009,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_16,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_17,17,2025-01-22,Michael Fitzmaurice,Foreign,"17. Deputy Michael Fitzmaurice asked the Tánaiste and Minister for Foreign Affairs to provide an assurance that no civil servant has had their career break extended beyond five years where there is a suitable vacancy in their home Department or agency; to provide an assurance that, where a civil servant has had their career break extended beyond five years on account of there being no suitable vacancy in their home Department or agency, that they have been placed on a redeployment panel; to provide an assurance that, where a civil servant has had their career break extended beyond six years, that consideration has been given to facilitating them on a supernumerary basis; and if he will make a statement on the matter. [46227/24]",,,,
WPQG008,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1598,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1691,1691,2025-01-22,Michael Fitzmaurice,Further and Higher Education,"1691. Deputy Michael Fitzmaurice asked the Minister for Further and Higher Education, Research, Innovation and Science the number of civil servants in his Department, and in agencies under the aegis of his Department, who were on career break in 2023 or 2024, by month and grade, and by length of career break; the number of civil servants in his Department and in agencies under the aegis of his Department who were on career break for longer than five years or longer than six years in 2023 or 2024, by month, grade, and length of career break, in tabular form; and if he will make a statement on the matter. [46192/24]",,,,
WPQG010,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1645,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1737,1737,2025-01-22,Michael Fitzmaurice,Rural,"1737. Deputy Michael Fitzmaurice asked the Minister for Rural and Community Development the number of civil servants in her Department, and in agencies under the aegis of her Department, who were on career break in 2023 or 2024, by month and grade, and by length of career break; the number of civil servants in her Department and in agencies under the aegis of her Department who were on career break for longer than five years or longer than six years in 2023 or 2024, by month, grade, and length of career break, in tabular form; and if she will make a statement on the matter. [46197/24]",,,,
