review_id,debate_section_id,question_date,to_minister_or_department,answer_status,grouped_answer,referred_or_direct_reply,embedded_table_count,section_heading,answer_text,source_xml_url,human_topic_tags_json,human_answer_characteristics_json,human_missing_topic_notes,reviewer_notes
WPQG001,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_10,2025-01-22,Taoiseach,ministerial_reply_present,False,False,2,Departmental Projects,"The Taoiseach Since the launch of the Shared Island Initiative in 2020, over €500m has been allocated by Government to a range of major cross-border projects and programmes, delivered in cooperation with the Northern Ireland Executive, the UK Government and with Local Authority, Education and Civil Society partners across the island. A full list of Shared Island Fund allocations made by Government to date is provided in tabular form. The Shared Island Unit in the Department of the Taoiseach is coordinating a wide-ranging policy research programme. The most recent Shared Island research by the Economic and Social Research Institute was published on 16 January on Child Poverty on the island of Ireland. A list of research projects commissioned by the Shared Island Unit and published to date is provided in tabular form and all reports are published and available at: www.gov.ie/sharedisland/research. Table 1: Shared Island Fund allocations as of January 2025 Development of two new all-island bioeconomy demonstrator facilities - €7m Taken forward by the Minister for Agriculture, Food and Marine in cooperation with Executive counterpart Pilot cooperation programme on educational attainment - €24m Taken forward by the Minister for Education in cooperation with Executive counterpart Shared Island Enterprise scheme - €30m Taken forward by the Minister for Enterprise, Trade and Employment in cooperation with Executive counterpart Shared Island dimension to Community Climate Action Programme - €3m Taken forward by the Minister for Environment, Climate and Communications Shared Island Civic Society Fund - €2m (total €3m fund including D/FA contribution) Taken forward by the Tánaiste and Minister for Foreign Affairs North South Research Programme contribution (rounds 1 and 2, 2022-2027) - €50m Taken forward by the Minister for Further and Higher Education, Research, Innovation and Science [Information on research funded to date through the Higher Education Authority North South Research Programme is at hea.ie/policy/research-policy/north-south-research-programme ]. Ulster University - new teaching and student services building in Derry - €44.5m Taken forward by the Minister for Further and Higher Education, Research Innovation and Science in cooperation with Executive counterpart and Ulster University All-Island Co-Centres for Research and Innovation contribution - €20m Taken forward by the Minister for Further and Higher Education, Research, Innovation and Science in cooperation with Executive and UK Government counterparts Construction of respite and therapeutic centre for children diagnosed with cancer from across the island - €2.5m Taken forward by the Minister for Health Construction of the Narrow Water Bridge - €107m plus VAT. Taken forward by the Minister for Housing, Local Government and Heritage in cooperation with Executive counterpart Phases 2 and 3 Ulster Canal restoration contribution - €47m Taken forward by the Minister for Housing, Local Government and Heritage in cooperation with Executive counterpart Cross-border innovation hub - €12m - Taken forward by the Minister for Housing, Local Government and Heritage in cooperation with Local Authority partners All-island peatlands and biosecurity projects - €11m Taken forward by Minister for Housing, Local Government and Heritage in cooperation with Executive and Scottish Government counterparts Shared Island Local Authority development funding scheme - €5m Taken forward by the Minister for Housing, Local Government and Heritage Renewed visitor experience at the Battle of the Boyne site - €10m Taken forward by the Minister of State with responsibility for the Office of Public Works Casement Park redevelopment contribution - €50m Taken forward by Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media in cooperation with Executive counterpart Shared Island dimension to Creative Ireland and cultural heritage projects - €8m Taken forward by the Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media Tourism brand collaboration project - €7.6m Taken forward by Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media in cooperation with Executive counterpart All-Island arts capital investment projects - €7.4m Taken forward by the Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media in cooperation with Executive counterpart Electric Vehicle charging point scheme for Sports Clubs across the island - €15m Taken forward by the Minister for Transport Introduction of an hourly rail service between Dublin and Belfast - €12.5m Taken forward by the Minister for Transport Completion of the cross-border Carlingford Lough Greenway - €1.5m Taken forward by the Minister for Transport in cooperation with Executive counterpart Table 2: Research commissioned by Shared Island Unit, Department of the Taoiseach Economic and Social Research Institute joint research programme on Shared Island: · Synthesis report on learnings from ESRI joint research programme (in progress). · Economic overview of Ireland and Northern Ireland (in progress). · Child Poverty on the island of Ireland (January 2025). · Drivers of Income Inequality in Ireland and Northern Ireland (October 2024). · Gender and Labour Market Inclusion on the Island of Ireland (April 2024). · Contrasting Housing Supply in Ireland, Northern Ireland and the rest of the United Kingdom (January 2024). · Changing Social and Political Attitudes in Ireland and Northern Ireland (November 2023). · Student Mobility in Ireland and Northern Ireland (September 2023). · Migrant Integration in Ireland, North and South (March 2023). · Children’s Care and Early Education in Ireland, North and South (January 2023). · Calculating the Benefit of All-Island Coordination of Energy Infrastructure and Renewable Energy Supports (December 2022). · Modelling Productivity Levels in Ireland and Northern Ireland (November 2022). · A North-South Comparison of Education and Training Systems: lessons for policy (April 2022). · An Analysis of the Primary Care Systems of Ireland and Northern Ireland (March 2022). · Enhancing the Attractiveness of the island of Ireland to High-value Foreign Direct Investment (December 2021). · Cross-border Trade in Services (December 2021). National Economic and Social Council: · Comprehensive Report: Shared Island; Shared Opportunity (April 2022). · Shared Island Collaboration on Climate and Biodiversity (October 2021). Standing Conference on Teacher Education North and South (SCoTENS): · EDUCATE: Educating about Difference Uniting Classrooms and Teacher Education (November 2024). · CRiTERiA: Cultural Responsivity in Teacher Education: Research in Action (October 2024). · SRASI: Shared Responsibility Across a Shared Island (October 2023). · SHARED: Student Hopes: Achievement, Research, Equity and Diversity (October 2022). · BUDDIES: BUilding BriDges, Diminishing Educational DiSadvantage (October 2022). Irish Research Council New Foundations programme (Shared Island strand): 2022 funding call: · Public Policy Agendas on a Shared Island. · Strengthening the regional impact of higher education: a comparative scoping study of regional higher education strategies, policies and provision in the NorthWest of the island of Ireland, Scotland and Wales. · Doing Feminist Legal Work. · An All-Island consortium to foster Educational Neuroscience research and practice. · Towards an Intersectoral All-Island Network for Circular Bioeconomy Entrepreneurship (AINCBE). · Addressing Biodiversity Loss with Sustainable Finance: An All-Island Research Initiative. · Audience Data for Cultural Policy: A Shared Island Approach to the Creative Industries. · All Ireland Rare Disease Inter-Disciplinary Research Network (RAiN). 2021 funding call: · Towards A Fair and Prosperous Island: An All-Island Network to Combat Hate. · Assisting the Irish churches and religious communities to develop values-based common positions on current European issues and to engage with European counterparts. · Appraise Curriculum Content for Entrepreneurship in Secondary Schools. · Negotiating difference on a shared island: agonism, commonality, or critical constitutionalism. · Brexit at the Border: Intergroup Relations on the Shared Island. · Providing a multidisciplinary expert network to promote and support implementation of a circular economy on the island of Ireland, AICEG (All-Island Circular Economy Group). · North South Legal Mapping Project. · Reading Rooms: Fostering Constructive & Inclusive Dialogue Between Communities. · Éire strategy for QUantum Information and TechnologY. · Building Capacity for the Cultural Industries: Towards a Shared-Island Approach. · Exploring the Economic, Political, Societal and Health Benefits of an All-Island Cancer Research Institute (AICRI): Strengthening Collaboration in Cancer Research Throughout the Island of Ireland. Other commissioned research: · A study into the current conditions of the island of Ireland labour market, and challenges and opportunities for effective operation for workers and businesses across the island – commissioned by the Labour Employment Economic Forum Shared Island Working Group (November 2024). · Collaborating on Healthcare on an All-Island Basis – Professor Deirdre Heenan, commissioned as discussion paper contribution for the Shared Island Dialogue on Health (July 2021). Research co-funded by the Shared Island Unit with the Office of Emergency Planning: · Advancing a Focused Cross-Border Approach to Public Service Messaging in Emergency Management (June 2024). · Communicating for Impact: Public Safety Messaging for Border Communities (in progress). · Advancing a Focused All-Island and Cross-Border Approach to Planning for Recovery in Strategic Emergency Management (in progress).",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_10.xml,,,,
WPQG002,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_100,2025-01-22,Environment,ministerial_reply_present,False,False,0,Renewable Energy Generation,"Minister for the Environment, Climate and Communications The Government has set a target of 80% renewable electricity by 2030, including a specific target of 8 GW of solar capacity. My Department has established two key support schemes to meet these targets, addressing large-scale and smaller-scale generators. The first element, the Renewable Electricity Support Scheme (RESS), is characterised by a series of competitive auctions, with four to date held in 2020, 2022, 2023, and 2024. The RESS support price is set in a competitive auction where successful applicants are offered a two-way support arrangement for a period of up to 16.5 years. This arrangement guarantees developers and consumers a stable electricity price for that period. The scheme is funded via the Public Service Obligation (PSO). The Small-Scale Renewable Electricity Support Scheme (SRESS) also provides financial incentives to develop smaller scale solar and wind energy, and was designed with two support mechanisms to suit two distinct cohorts of applicants. Under SRESS Phase 1, grants are available for renewables self-consumers above 50 kW and up to 1 MW. Renewables self-consumers are electricity customers who produce renewable electricity for their own use. They may then sell or store any excess electricity that they produce, if electricity generation is not their primary business. SRESS Phase 2 targets community, SME and farm export projects above 50kW to 6MW, offering a simpler route to market, with fixed tariffs for solar and wind. As with RESS, this is supported by the PSO. All export projects up to 1MW can also apply to SRESS, and need not be communities, SMEs or farmers. The scheme is due to open for applications on 27 January.",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_100.xml,,,,
WPQG003,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1000,2025-01-22,Agriculture,ministerial_reply_present,False,False,4,Departmental Staff,"Minister for Agriculture, Food and the Marine (Deputy Charlie McConalogue) I am satisfied that my Department properly implements the provisions of Circular 4/2013 in respect of staff returning from career breaks. Staff returning from career breaks are included in workforce planning considerations with a view to filling any appropriate existing or forthcoming vacancies in my Department. The Department has reassigned any staff returning from career breaks during this period without any undue delays. Any extensions to career breaks granted were requested by staff members. The information requested in respect of staff on career breaks in 2023 and 2024 is set out in tabular form below. Staff who commenced Career break prior to 2023 but who were still on career break in 2023/2024: Grade Career Break Length (yrs) Clerical Officer 5 Agricultural Inspector 5 Agricultural Inspector 5 ASSISTANT AGRICULTURAL INSPECTOR 2 ASSISTANT AGRICULTURAL INSPECTOR 3 ASSISTANT AGRICULTURAL INSPECTOR 3 Assistant Harbour Master 2 ASSISTANT PRINCIPAL 1 Clerical Officer 4 Clerical Officer 5 Clerical Officer 5 Clerical Officer 3 Clerical Officer 1 EXECUTIVE OFFICER 5 EXECUTIVE OFFICER 2 EXECUTIVE OFFICER 2 EXECUTIVE OFFICER 3 EXECUTIVE OFFICER 2 EXECUTIVE OFFICER 3 EXECUTIVE OFFICER 3.6 EXECUTIVE OFFICER 2 Forestry Inspector Grade 3 3 General Operative 5 HIGHER EXECUTIVE OFFICER 5 Laboratory Analyst 3 Laboratory Analyst 5 Research Officer 8 SUPERINTENDING VETERINARY INSPECTOR 10 Veterinary Inspector 5 Veterinary Inspector 5 Staff who commenced Career break in 2023/2024 by month, grade and career break length: Year of Career Break Career Break Start Month Grade Career Break Length (yrs) 2023 Jan Clerical Officer 3 ADMINISTRATIVE OFFICER 2 ASSISTANT AGRICULTURAL INSPECTOR 3 HIGHER EXECUTIVE OFFICER 5 Feb Veterinary Inspector 2 Mar EXECUTIVE OFFICER 1 Apr General Operative 1 EXECUTIVE OFFICER 1.6 May Clerical Officer 1.6 Clerical Officer 2 Jun Clerical Officer 2 Veterinary Inspector 3.5 Jul ASSISTANT PRINCIPAL 1 ASSISTANT PRINCIPAL 2 ASSISTANT AGRICULTURAL INSPECTOR 1.6 EXECUTIVE OFFICER 1.6 EXECUTIVE OFFICER 2 Aug TECHNICAL AGRICULTURAL OFFICER 3 ASSISTANT PRINCIPAL 2 Laboratory Analyst 2 Assistant Secretary 1 Sep Senior Laboratory Analyst 2 Senior Research Officer 1 Senior Laboratory Analyst 3 Veterinary Inspector 8 months Oct Clerical Officer 6 months Nov ASSISTANT AGRICULTURAL INSPECTOR 1 Veterinary Inspector 1 Clerical Officer 1 Dec ADMINISTRATIVE OFFICER 1.5 Clerical Officer 1 2024 Jan Clerical Officer 3.9 Feb Principal Officer 3 TECHNICAL AGRICULTURAL OFFICER 1 General Operative 1 EXECUTIVE OFFICER 1 Apr Clerical Officer 2 May SUPERINTENDING VETERINARY INSPECTOR 5 Laboratory Analyst 2 Clerical Officer 1 Jun ASSISTANT AGRICULTURAL INSPECTOR 1 SEROLOGICAL ASSISTANT 1 Jul Clerical Officer 1 EXECUTIVE OFFICER 2 Aug Clerical Officer 1 Clerical Officer 2 Sep HIGHER EXECUTIVE OFFICER 1 TECHNICAL AGRICULTURAL OFFICER 0.8 Oct ADMINISTRATIVE OFFICER 1.8 Laboratory Analyst 2 ASSISTANT AGRICULTURAL INSPECTOR 1 Clerical Officer 1 TECHNICAL AGRICULTURAL OFFICER 1 Nov Laboratory Analyst 1 Dec Laboratory Analyst 0.6 HIGHER EXECUTIVE OFFICER 2 TECHNICAL AGRICULTURAL OFFICER 1 There are no officers in my Department who fall within the parameters of being on a career break for longer than five and six years in 2023 and 2024. I am satisfied that my Department properly implements the provisions of Circular 4/2013 in respect of staff returning from career breaks. Staff returning from career breaks are included in workforce planning considerations with a view to filling any appropriate existing or forthcoming vacancies in my Department. The Department has reassigned any staff returning from career breaks during this period without any undue delays. Any extensions to career breaks granted were requested by staff members. The information requested in respect of staff on career breaks in 2023 and 2024 is set out in tabular form below. Staff who commenced Career break prior to 2023 but who were still on career break in 2023/2024: Grade Career Break Length (yrs) Clerical Officer 5 Agricultural Inspector 5 Agricultural Inspector 5 ASSISTANT AGRICULTURAL INSPECTOR 2 ASSISTANT AGRICULTURAL INSPECTOR 3 ASSISTANT AGRICULTURAL INSPECTOR 3 Assistant Harbour Master 2 ASSISTANT PRINCIPAL 1 Clerical Officer 4 Clerical Officer 5 Clerical Officer 5 Clerical Officer 3 Clerical Officer 1 EXECUTIVE OFFICER 5 EXECUTIVE OFFICER 2 EXECUTIVE OFFICER 2 EXECUTIVE OFFICER 3 EXECUTIVE OFFICER 2 EXECUTIVE OFFICER 3 EXECUTIVE OFFICER 3.6 EXECUTIVE OFFICER 2 Forestry Inspector Grade 3 3 General Operative 5 HIGHER EXECUTIVE OFFICER 5 Laboratory Analyst 3 Laboratory Analyst 5 Research Officer 8 SUPERINTENDING VETERINARY INSPECTOR 10 Veterinary Inspector 5 Veterinary Inspector 5 Staff who commenced Career break in 2023/2024 by month, grade and career break length: Year of Career Break Career Break Start Month Grade Career Break Length (yrs) 2023 Jan Clerical Officer 3 ADMINISTRATIVE OFFICER 2 ASSISTANT AGRICULTURAL INSPECTOR 3 HIGHER EXECUTIVE OFFICER 5 Feb Veterinary Inspector 2 Mar EXECUTIVE OFFICER 1 Apr General Operative 1 EXECUTIVE OFFICER 1.6 May Clerical Officer 1.6 Clerical Officer 2 Jun Clerical Officer 2 Veterinary Inspector 3.5 Jul ASSISTANT PRINCIPAL 1 ASSISTANT PRINCIPAL 2 ASSISTANT AGRICULTURAL INSPECTOR 1.6 EXECUTIVE OFFICER 1.6 EXECUTIVE OFFICER 2 Aug TECHNICAL AGRICULTURAL OFFICER 3 ASSISTANT PRINCIPAL 2 Laboratory Analyst 2 Assistant Secretary 1 Sep Senior Laboratory Analyst 2 Senior Research Officer 1 Senior Laboratory Analyst 3 Veterinary Inspector 8 months Oct Clerical Officer 6 months Nov ASSISTANT AGRICULTURAL INSPECTOR 1 Veterinary Inspector 1 Clerical Officer 1 Dec ADMINISTRATIVE OFFICER 1.5 Clerical Officer 1 2024 Feb Principal Officer 3 TECHNICAL AGRICULTURAL OFFICER 1 General Operative 1 EXECUTIVE OFFICER 1 Apr Clerical Officer 2 May SUPERINTENDING VETERINARY INSPECTOR 5 Laboratory Analyst 2 Clerical Officer 1 Jun ASSISTANT AGRICULTURAL INSPECTOR 1 SEROLOGICAL ASSISTANT 1 Jul Clerical Officer 1 EXECUTIVE OFFICER 2 Aug Clerical Officer 1 Clerical Officer 2 Sep HIGHER EXECUTIVE OFFICER 1 TECHNICAL AGRICULTURAL OFFICER 0.8 Oct ADMINISTRATIVE OFFICER 1.8 Laboratory Analyst 2 ASSISTANT AGRICULTURAL INSPECTOR 1 Clerical Officer 1 TECHNICAL AGRICULTURAL OFFICER 1 Nov Laboratory Analyst 1 Dec Laboratory Analyst 0.6 HIGHER EXECUTIVE OFFICER 2 TECHNICAL AGRICULTURAL OFFICER 1 There are no officers in my Department who fall within the parameters of being on a career break for longer than five and six years in 2023 and 2024.",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1000.xml,,,,
WPQG004,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1058,2025-01-22,Children,ministerial_reply_present,False,False,0,Housing Schemes,"Minister for Children, Equality, Disability, Integration and Youth As part of the State’s humanitarian response to the Ukrainian crisis, the Government has developed a Rapid Build Housing Programme to provide accommodation for families fleeing the war in Ukraine who request it. The programme aims to provide short-term accommodation for up to 2,800 Ukrainians at several sites across Ireland. The Office of Public Works (OPW) is leading the development of this accommodation in conjunction with my Department. The first phase of ten sites is completed with 2,312 residents having moved into their new homes. The cost of each unit is approximately €145,000 (45m² / 484sqft), inclusive of supply, delivery and provision of loose electrical and household items. This is separate to the site development and utility connection costs, etc. relating to the overall development at Clonmel. 82 units are currently envisaged as viable for the site by the Office of Public Works. As the project in Clonmel is still ongoing, it is not possible at this point to specify a final cost figure for the site.",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1058.xml,,,,
WPQG005,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_110,2025-01-22,Defence,ministerial_reply_present,False,False,0,Departmental Staff,Tánaiste and Minister for Defence The table below provides a breakdown by month and grade of civil servants in my Department who were on a career break in 2023 or 2024. There have been no instances in my Department where career breaks have been extended longer than five years in 2023 or 2024. Career Break details,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_110.xml,,,,
WPQG006,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1214,2025-01-22,Health,ministerial_reply_present,False,False,0,Health Services Waiting Lists,"Minister for Health (Stephen Donnelly) As this question refers to service matters, I have asked the Health Service Executive (HSE) to respond to the Deputy directly, as soon as possible.",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1214.xml,,,,
WPQG007,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_134,2025-01-22,Transport,ministerial_reply_present,False,False,0,Road Network,"Minister of State at the Department of Transport In 2024, Transport Infrastructure Ireland was nominated to lead the development of a comprehensive national strategy for the future roll-out and expanded use of safety cameras. A draft of this strategy is expected to be completed in the coming months. The Strategy will cover the use of safety cameras across all aspects of the road network, with the objective of saving lives by reducing unsafe driver behaviours that can be detected using existing and proven camera-based technologies. The Strategy will focus on speed, red light and bus lane cameras in the initial phase. However, it is being designed to allow for the enforcement of other violations in the future, such as mobile phone use and not wearing seat belts. It is expected that legislative amendment will be required to allow for future camera enforcement in these areas. In the short-term and as announced last year, pending the finalisation of the strategy and overarching camera framework that will inform the wider deployment of average speed zones where appropriate, Transport Infrastructure Ireland is collaborating with An Garda Síochána and relevant Local Authorities on the deployment of three new average speed camera zones. The first two of these zones came into operation on the N3 in Cavan and N5 in Mayo last October and the third location, on the N2 in Meath, is expected to enter operation this quarter. Notwithstanding the work ongoing noted above to develop a comprehensive strategy, the deployment of further average speed zones under the existing legislation is a matter for An Garda Síochána to determine and to enforce.",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_134.xml,,,,
WPQG008,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1598,2025-01-22,Further and Higher Education,ministerial_reply_present,False,False,3,Departmental Staff,"Minister for Further and Higher Education, Research, Innovation and Science The number of staff from my Department who were on a career break in 2023 and 2024, is set out in the below tables. The information in respect of state bodies, within the scope of the Deputy’s question, is not held by my Department. Contact details for these bodies are set out in the third table below, should the Deputy wish to contact the aegis bodies directly with his query. 2023 Grade Full-time equivalent Start date(s) Ongoing Principal Officer 1 25/11/2022 Yes Administrative Officer 2 06/09/2021 16/10/2023 No Yes Executive Officer 0.5 05/12/2022 Yes 2024 Grade Full-time equivalent Start date(s) Ongoing Principal Officer 1 25/11/2022 Yes Higher Executive Officer 1 08/01/2024 No Administrative Officer 2 16/10/2023 30/08/2024 Yes Yes Executive Officer 0.5 05/12/2022 Yes Note: Some staff who were on a career break in 2023 were still on career break in 2024 and are therefore included under both years. Please note that the data is representative of staff FTE (full time equivalent hours). As my Department was established in August 2020, there are no staff members on a career break for longer than five years or longer than six years, in 2023 or 2024. Contact E-Mail Addresses for State Bodies under the Remit of the Department of Further and Higher Education, Research, Innovation and Science Name of Body Dedicated Email address for the Members of the Oireachtas Designated Official Responsible for assisting Oireachtas Members Higher Education Authority Oireachtas@hea.ie Padraic Mellett* Irish Research Council( Note 1) Oireachtas@research.ie Padraic Mellett* Grangegorman Development Agency Communications@ggda.ie nora.rahill@ggda.ie SOLAS oireachtasinfo@solas.ie Maria Walsh maria.walshe@solas.ie Skillnets Ireland oireachtasmembers@skillnetireland.ie tracey.donnery@skillnetireland.ie Quality and Qualifications Ireland ceo@qqi.ie ceo@qqi.ie Léargas – The Exchange Bureau oireachtas@leargas.ie fbroughan@leargas.ie Science Foundation Ireland ciara.cotter@sfi.ie Ciara Cotter Note 1 – In regard to the Higher Education Authority (HEA) and the Irish Research Council (IRC) as the IRC operates under the auspices of the HEA. Mr Mellett will address Oireachtas queries for both the HEA and IRC. Please use Oireachtas@hea.ie and Oireachtas@research.ie respectively to contact Mr Mellett.",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1598.xml,,,,
WPQG009,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_16,2025-01-22,Foreign,ministerial_reply_present,True,False,0,Departmental Staff,"Tánaiste and Minister for Foreign Affairs I propose to take Questions Nos. 15 and 17 together. I am fully satisfied that the provisions of Circular 4/2013 (Career Break Scheme in the Civil Service) are being properly implemented by my Department. Civil servants on career break are required to comply with the provisions of the circular and once a notification of a return from career break is received by my Department, the officer’s assignment is then confirmed. I am not aware of any recent case where an officer has had a career break extended unnecessarily. When civil servants notify the Department of their intention to return from career break, an offer of a position at their respective grade is made by the Department within the guidelines set out in Circular 4/2013. In exceptional circumstances an officer may be granted an additional career break without the required period of service between career breaks, in line with the procedures outlined in the circular. The tables below indicate the number of officers of career break across 2023 and 2024, and the duration of these career breaks. Officers on Career Break",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_16.xml,,,,
WPQG010,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1645,2025-01-22,Rural,ministerial_reply_present,False,False,1,Departmental Staff,"Minister for Rural and Community Development My Department has seven staff members who took a career break which included all or part of 2023 or 2024. The table below shows the grades, and the dates and duration of these career breaks. Grade Career Break From Career Break To Length of Career Break Administrative Officer 09.03.2022 11.03.2024 2 Years Administrative Officer 02.09.2022 01.03.2025 Due to be 2 years 6 months Assistant Principal 01.09.2021 03.03.2025 Due to be 3 years 6 months Assistant Principal 12.10.2024 13.04.2025 Due to be 6 months Clerical Officer 12.09.2023 08.09.2025 Due to be 2 years Clerical Officer 22.03.2024 20.03.2026 Due to be 2 years Executive Officer 15.06.2022 15.06.2025 Due to be 3 years No staff in my department have been on a career break lasting longer than five years. While the granting of career breaks is an operational matter for agencies under our aegis, I can confirm that they do not have any staff on career break as outlined.",https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1645.xml,,,,
